Country Name,Country Code,gdp_growth_2017,hitech_exports_2017,unemployment_ilo_2017
Aruba,ABW,1.330511037,2011640.0,
Afghanistan,AFG,2.665292046,,1.559000015
Angola,AGO,-0.147207426,,7.138999939
Albania,ALB,3.8366196560000003,1119016.0,13.75
Andorra,AND,1.7240222369999998,24235417.0,
United Arab Emirates,ARE,0.790400388,22656831323.0,2.463000059
Argentina,ARG,2.668590379,1494147748.0,8.347000122
Armenia,ARM,7.500000001,28310791.0,17.82699966
American Samoa,ASM,-5.379746835,,
Antigua and Barbuda,ATG,3.032606112,3183.0,
Australia,AUS,2.342582287,4942222857.0,5.593999863
Austria,AUT,2.55088076,17027611644.0,5.499000072
Azerbaijan,AZE,-0.282011197,14069403.0,5.0
Burundi,BDI,0.500009999,224838.0,1.5010000469999998
Belgium,BEL,1.7343896559999998,34558295871.0,7.085999966
Benin,BEN,5.837823305,4003045.0,2.180000067
Burkina Faso,BFA,6.302096059,5267965.0,6.014999866
Bangladesh,BGD,7.284184092,,4.372000217
Bulgaria,BGR,3.811248158,1684916675.0,6.164000034
Bahrain,BHR,3.803522262,,0.9470000270000001
"Bahamas, The",BHS,1.437191339,,12.38099957
Bosnia and Herzegovina,BIH,3.1635594869999997,235858862.0,20.46999931
Belarus,BLR,2.5321835,687613900.0,5.650000095
Belize,BLZ,1.437288946,10.0,9.0
Bermuda,BMU,,1136949.0,
Bolivia,BOL,4.1952093669999995,19397572.0,3.23300004
Brazil,BRA,1.063861259,10756516887.0,12.82699966
Barbados,BRB,1.0,,9.487000465
Brunei Darussalam,BRN,1.328751422,161870645.0,9.315999985
Bhutan,BTN,4.629101391,,2.170000076
Botswana,BWA,2.90753491,52343181.0,17.63100052
Central African Republic,CAF,4.4572831619999995,35462285.0,6.4470000270000005
Canada,CAN,2.9785659630000003,27592622818.0,6.340000152999999
Switzerland,CHE,1.616692155,29844323632.0,4.796999931
Channel Islands,CHI,,,7.347000122000001
Chile,CHL,1.279183341,623854353.0,6.958000182999999
China,CHN,6.757007611000001,654188000000.0,4.400000095
Cote d'Ivoire,CIV,7.702089422,137411132.0,2.487999916
Cameroon,CMR,3.549087318,30197985.0,3.358999968
"Congo, Dem. Rep.",COD,3.7269476530000003,,4.1020002369999995
"Congo, Rep.",COG,-3.1,93174601.0,10.15600014
Colombia,COL,1.351326676,694848478.0,8.871999741
Comoros,COM,2.7076588289999997,,3.696000099
Cabo Verde,CPV,4.013257244,,12.24100018
Costa Rica,CRI,3.397181701,1106846239.0,8.142000198
Cuba,CUB,1.7834976269999998,,2.278000116
Curacao,CUW,-1.7397647840000001,,
Cayman Islands,CYM,3.039347467,,
Cyprus,CYP,4.4688790439999995,57707767.0,11.05200005
Czech Republic,CZE,4.3526035180000004,29543508515.0,2.890000105
Germany,DEU,2.15710947,196321000000.0,3.746000051
Djibouti,DJI,4.090263628,,11.16399956
Dominica,DMA,-9.530409524,,
Denmark,DNK,2.2623690080000003,8937322533.0,5.743000031
Dominican Republic,DOM,4.551815138,432904183.0,5.831999778999999
Algeria,DZA,1.600000001,9027398.0,11.99600029
Ecuador,ECU,2.368386526,94093429.0,3.835999966
"Egypt, Arab Rep.",EGY,4.181221,72462549.0,11.77000046
Eritrea,ERI,,,6.497000217
Spain,ESP,2.979182401,17094347468.0,17.22400093
Estonia,EST,4.8566868560000005,1843067776.0,5.760000229
Ethiopia,ETH,9.503858571,,1.8099999430000002
Finland,FIN,3.0433248219999998,4405114576.0,8.640000342999999
Fiji,FJI,5.179743526,4089668.0,4.1430001260000004
France,FRA,2.260202722,109359000000.0,9.397000313
Faroe Islands,FRO,,,
"Micronesia, Fed. Sts.",FSM,3.199981628,,
Gabon,GAB,0.479762271,,19.37400055
United Kingdom,GBR,1.822927774,75032857204.0,4.335000038
Georgia,GEO,4.832686291,26751766.0,13.93000031
Ghana,GHA,8.143446497000001,41531749.0,6.629000187000001
Gibraltar,GIB,,,
Guinea,GIN,13.36010547,,3.572000027
"Gambia, The",GMB,4.557731909,3864.0,8.906000137000001
Guinea-Bissau,GNB,5.9191766260000005,,4.032999992
Equatorial Guinea,GNQ,-4.685683868,,9.154999733
Greece,GRC,1.5050993080000001,1384000150.0,21.48800087
Grenada,GRD,5.05921616,,
Greenland,GRL,0.9874930740000001,1743354.0,
Guatemala,GTM,2.7603384839999996,246966678.0,2.684000015
Guam,GUM,0.192049165,,5.2449998860000004
Guyana,GUY,2.080177394,254735.0,12.11499977
"Hong Kong SAR, China",HKG,3.838406307,,3.089999914
Honduras,HND,4.788026945,45740961.0,4.047999859
Croatia,HRV,2.921363374,923411397.0,11.20800018
Haiti,HTI,1.173279505,,13.40499973
Hungary,HUN,4.137063937,16903987958.0,4.1560001369999995
Indonesia,IDN,5.067406366,5974888118.0,4.184999943
Isle of Man,IMN,,,
India,IND,7.167888861000001,15161028362.0,2.5569999219999997
Not classified,INX,,,
Ireland,IRL,8.145296135,34827021587.0,6.7100000379999996
"Iran, Islamic Rep.",IRN,3.755187367,278924957.0,12.10000038
Iraq,IRQ,-1.671287156,,7.890999794
Iceland,ISL,4.603781379,167559778.0,2.742000103
Israel,ISR,3.44461203,12057719000.0,4.215000153
Italy,ITA,1.68418261,32232276659.0,11.21100044
Jamaica,JAM,0.978556223,11652999.0,11.6590004
Jordan,JOR,2.1157328890000002,83323220.0,14.87899971
Japan,JPN,1.928757251,106416000000.0,2.799999952
Kazakhstan,KAZ,4.1,1787126321.0,4.900000095
Kenya,KEN,4.862538221,48617464.0,9.291999817
Kyrgyz Republic,KGZ,4.7,88959757.0,6.889999866
Cambodia,KHM,7.01503011,,1.062000036
Kiribati,KIR,0.328439777,,
St. Kitts and Nevis,KNA,1.1705626759999999,6842006.0,
"Korea, Rep.",KOR,3.0627684619999997,166675000000.0,3.700000048
Kuwait,KWT,-3.48154919,204031689.0,1.9969999790000001
Lao PDR,LAO,6.851431259,,0.602999985
Lebanon,LBN,0.551994777,272165501.0,6.113999843999999
Liberia,LBR,2.468626095,,2.028000116
Libya,LBY,26.67587012,,17.12199974
St. Lucia,LCA,3.671861435,3921940.0,20.79000092
Liechtenstein,LIE,,,
Sri Lanka,LKA,3.4198191889999996,79026655.0,4.179999828
Lesotho,LSO,-2.286299107,1254081.0,23.61300087
Lithuania,LTU,4.1399484730000005,2317936056.0,7.072999954
Luxembourg,LUX,1.54566061,786641158.0,5.521999836
Latvia,LVA,4.636479621,1413240988.0,8.715000153
"Macao SAR, China",MAC,9.703992759,,2.0
St. Martin (French part),MAF,,,
Morocco,MAR,4.0875068169999995,691266542.0,9.05300045
Monaco,MCO,-3.5,,
Moldova,MDA,4.690793428,30060831.0,4.09800005
Madagascar,MDG,4.30687978,4949826.0,1.66900003
Maldives,MDV,6.911694465,708.0,5.829999924
Mexico,MEX,2.069715185,70934811937.0,3.4200000760000004
Marshall Islands,MHL,3.599971042,,
North Macedonia,MKD,0.24052101399999998,186063939.0,22.38100052
Mali,MLI,5.400000102999999,3021238.0,9.43500042
Malta,MLT,6.705510407,,4.566999912
Myanmar,MMR,6.758628824,285995159.0,1.550999999
Montenegro,MNE,4.716464962,5133057.0,16.07099915
Mongolia,MNG,5.30166847,3779198.0,6.359000206
Northern Mariana Islands,MNP,25.14231499,,
Mozambique,MOZ,3.7369582410000004,32198905.0,3.173000097
Mauritania,MRT,3.02948016,,10.27600002
Mauritius,MUS,3.814152108,28412079.0,6.751999855
Malawi,MWI,4.000030517,8406539.0,5.467999935
Malaysia,MYS,5.897009292999999,74136279705.0,3.410000086
Namibia,NAM,-0.867877108,15790091.0,23.08799934
New Caledonia,NCL,,,13.79699993
Niger,NER,4.893436692,,0.28499999600000003
Nigeria,NGA,0.80588662,18315636.0,6.013000011
Nicaragua,NIC,4.675475377,12612402.0,4.212999821
Netherlands,NLD,2.91090257,78598909079.0,4.839000225
Norway,NOR,1.980437749,4272827826.0,4.162000179
Nepal,NPL,7.90574161,5993527.0,1.2530000209999999
Nauru,NRU,4.1546851039999995,,
New Zealand,NZL,3.128460818,564489408.0,4.702000141
Oman,OMN,-0.928051651,48362448.0,3.137000084
Pakistan,PAK,5.700621241,362376598.0,3.1809999939999996
Panama,PAN,5.321230184,,3.900000095
Peru,PER,2.519088535,212444388.0,3.460000038
Philippines,PHL,6.677553566,33502479344.0,2.552000046
Palau,PLW,-3.570566825,1277066.0,
Papua New Guinea,PNG,1.549820847,,2.351999998
Poland,POL,4.814129544,19261853887.0,4.887000083999999
Puerto Rico,PRI,-2.65739342,,10.80000019
"Korea, Dem. Peopleâ€™s Rep.",PRK,,,3.2869999410000004
Portugal,PRT,2.7950242480000003,2816236487.0,8.866999626
Paraguay,PRY,4.958051422,62253535.0,4.614999771
West Bank and Gaza,PSE,3.14023678,,27.44400024
French Polynesia,PYF,,,12.09700012
Qatar,QAT,1.579850253,,0.14000000099999999
Romania,ROU,6.991393542999999,5558653635.0,4.927000046
Russian Federation,RUS,1.630195944,9929564939.0,5.211999893
Rwanda,RWA,6.057831319,,0.953999996
Saudi Arabia,SAU,-0.741529927,261725653.0,5.889999866
Sudan,SDN,4.283071004,549176.0,12.77299976
Senegal,SEN,7.082922291,18809131.0,6.4369997979999996
Singapore,SGP,3.699781577,147179000000.0,3.907000065
Solomon Islands,SLB,3.534339147,305201.0,1.7710000280000002
Sierra Leone,SLE,4.2111826489999995,1349.0,4.3249998089999995
El Salvador,SLV,2.307938504,251219313.0,4.385000229
San Marino,SMR,1.5,,
Somalia,SOM,,,13.91300011
Serbia,SRB,2.049310525,,13.47700024
South Sudan,SSD,,,12.63899994
Sao Tome and Principe,STP,3.871185947,386566.0,13.13899994
Suriname,SUR,1.687083602,1028529.0,7.598999977
Slovak Republic,SVK,3.188341055,8847211837.0,8.130999565
Slovenia,SVN,4.8805375060000005,1755384350.0,6.56400013
Sweden,SWE,2.10471614,17434042461.0,6.717999935
Eswatini,SWZ,1.8730543419999999,3666123.0,22.34000015
Sint Maarten (Dutch part),SXM,,,
Seychelles,SYC,4.332388099,63117372.0,
Syrian Arab Republic,SYR,,,8.031000137000001
Turks and Caicos Islands,TCA,4.275465839,,
Chad,TCD,-2.988695986,,2.198999882
Togo,TGO,4.4494073919999995,557552.0,1.657999992
Thailand,THA,4.024085781,,0.632000029
Tajikistan,TJK,7.617492691,,10.73799992
Turkmenistan,TKM,6.500000047,,3.694999933
Timor-Leste,TLS,-9.153986478,,2.9630000589999996
Trinidad and Tobago,TTO,-1.9,,2.816999912
Tunisia,TUN,1.824675319,850853009.0,15.37899971
Turkey,TUR,7.441193291,3500896134.0,10.81900024
Tuvalu,TUV,4.094017717,,
Tanzania,TZA,6.785680114,16962666.0,1.93900001
Uganda,UGA,3.8630237569999997,8123723.0,1.6979999540000001
Ukraine,UKR,2.4660534519999997,1267145051.0,9.510000229
Uruguay,URY,2.591338687,129215276.0,7.889999866
United States,USA,2.21701033,156937000000.0,4.355000018999999
Uzbekistan,UZB,4.461627697,,4.972000122
St. Vincent and the Grenadines,VCT,0.859946222,69012.0,19.731000899999998
"Venezuela, RB",VEN,,,7.421999931
British Virgin Islands,VGB,,,
Virgin Islands (U.S.),VIR,-1.696542894,,8.461999893
Vietnam,VNM,6.81224566,74113940404.0,1.8860000369999999
Vanuatu,VUT,4.500680305,,5.422999859
Samoa,WSM,2.704796224,74642.0,8.324000359
Kosovo,XKX,4.227908537,,
"Yemen, Rep.",YEM,-5.942319503999999,,13.17500019
South Africa,ZAF,1.414512626,2039077734.0,27.32699966
Zambia,ZMB,3.403168851,36265768.0,7.2059998510000005
Zimbabwe,ZWE,4.704035348000001,11206210.0,4.94299984
